recipient_name,usd_commitment,iso3,lon,lat
India,31836769939,IND,80.00118816717024,18.83664199395777
Developing countries unspecified,24572957217,,,
China,13079268160,CHN,115.5141206476804,29.831807625172235
Turkiye,11131598731,TUR,31.405003703703667,38.5659035
Brazil,10135585362,BRA,-47.74727609,-8.673506871
Egypt,9340091495,EGY,32.57443508771925,29.466294035087714
Pakistan,9066746595,PAK,67.53515364372471,26.984380161943335
Bangladesh,8088335389,BGD,90.43435789022276,23.09547478559176
Mexico,7576616535,MEX,-103.227574,24.225130568124673
Indonesia,7419902749,IDN,120.85560963878288,-2.633930932
Morocco,6467541330,MAR,-6.978154412,31.494315441176468
Colombia,6383391451,COL,-75.64641308,4.947646415770612
Argentina,6103092157,ARG,-34.603722,-58.381592
Ukraine,5933108624,UKR,31.569207191780823,48.05772363013702
Philippines,5497032463,PHL,14.599512,120.984222
Ethiopia,5127727285,,,
Nigeria,4880529089,,,
Kenya,4816178110,,,
Viet Nam,4771985257,,,
Uzbekistan,4473551569,,,
Ecuador,4056963449,,,
Peru,3383810922,,,
Serbia,3124934570,,,
"South of Sahara, regional",2935484754,,,
Cote d'Ivoire,2738413458,CIV,-5.567518182,7.362702272727272
Mozambique,2735740452,,,
Senegal,2727528741,,,
Kazakhstan,2586544201,,,
Jordan,2576331372,,,
Tanzania,2565410403,,,
Bolivia,2446377528,BOL,-17.413977,-66.165321
Tunisia,2412759975,,,
Nepal,2377395099,,,
Georgia,2352902524,,,
Sri Lanka,2220590373,,,
Niger,2189046435,,,
Uganda,2000693203,,,
Cameroon,1975575106,CMR,12.905803649635038,6.545445985
Democratic Republic of the Congo,1844341581,COD,21.951344968553464,-4.061861006
Costa Rica,1836699770,CRI,9.934739,"	-84.087502"
Rwanda,1794334137,,,
Burkina Faso,1596565047,BFA,-1.805312941,12.17821647058823
Honduras,1547811612,,,
Panama,1509610973,,,
Madagascar,1425029543,,,
South Africa,1374802945,,,
Malawi,1346851712,,,
Benin,1338368600,BEN,6.379448,2.451324
Cambodia,1337024960,KHM,103.9438503875968,11.159543798449617
Mali,1305467460,,,
Tajikistan,1245548076,,,
Ghana,1244372749,,,
"South America, regional",1207071935,,,
Myanmar,1190501078,,,
Dominican Republic,1169641968,,,
Angola,1153192476,AGO,15.53816735537191,-9.751263223
Iraq,1052232787,,,
Mongolia,1049347850,,,
Haiti,1046241641,,,
Bosnia and Herzegovina,1031026550,BIH,17.712495652173914,44.07309130434783
Paraguay,980883384,,,
Belarus,860482674,BLR,27.916470634920643,53.48657936507937
Afghanistan,858697634,AFG,67.58735508982033,34.87741916167664
Lebanon,845110263,,,
Albania,836368186,ALB,19.996978947368422,41.05111315789474
Guatemala,805513093,,,
Thailand,801107817,,,
Zambia,766897802,,,
Guinea,738584279,,,
Nicaragua,705839224,,,
Sudan,698213026,,,
Moldova,694733384,,,
Armenia,681789069,ARM,45.079997500000005,40.151315
Somalia,665287953,,,
Azerbaijan,663437124,AZE,48.08169084507041,40.051354929577464
Kyrgyzstan,644292435,,,
Lao People's Democratic Republic,570438238,,,
"Western Africa, regional",553181060,,,
Chad,543060872,TCD,17.592591970802918,13.435519708029194
Togo,506340687,,,
El Salvador,494662090,,,
Yemen,478169888,,,
Sierra Leone,419920663,,,
Republic of North Macedonia,412573686,,,
West Bank and Gaza Strip,408764263,,,
"Europe, regional",403999628,,,
Liberia,398707990,,,
Burundi,390950536,BDI,29.868455999999995,-3.351284
"Oceania, regional",389866074,,,
Mauritania,389729028,,,
Dominica,371961102,,,
Papua New Guinea,334084568,,,
Guyana,331322510,,,
Namibia,330441459,,,
Chile,317735400,CHL,-33.447487,-70.673676
"Far East Asia, regional",313906119,,,
Kosovo,308668267,,,
Montenegro,303410870,,,
Botswana,293726213,BWA,-24.653257,25.906792
Maldives,269259290,,,
Lesotho,269012049,,,
Solomon Islands,261289895,,,
South Sudan,261204237,,,
Djibouti,257581321,DJI,42.86959428571429,11.75768
Vanuatu,257563145,,,
Jamaica,239726676,,,
Gabon,225337180,,,
Central African Republic,214790300,CAF,20.762810273972605,6.344936986301371
Zimbabwe,207178230,,,
Gambia,203651414,,,
Timor-Leste,193973854,,,
Saint Vincent and the Grenadines,190452296,,,
"South Asia, regional",184534871,,,
Fiji,176336525,,,
Tonga,166789402,,,
"South & Central Asia, regional",163658411,,,
Comoros,162654113,COM,43.70658695652175,-12.20715217
Suriname,161782115,,,
Eswatini,159837343,,,
Marshall Islands,157471451,,,
Micronesia,152110188,,,
Bhutan,125527020,BTN,90.56082,27.36017333333334
Kiribati,124701890,,,
Sao Tome and Principe,120925674,,,
Mauritius,117965128,,,
Samoa,114604038,,,
"Middle East, regional",103502108,,,
"Middle Africa, regional",101009475,,,
"North of Sahara, regional",99573158,,,
Cuba,98228386,CUB,"	23.113592",-82.366592
Belize,89549312,BLZ,17.189877,-88.49765
Uruguay,85949622,,,
Cabo Verde,83430108,CPV,16.095011,-22.807835
Congo,80188063,COD,-4.322447,15.307045
Guinea-Bissau,75567702,,,
Tuvalu,73502340,,,
Saint Lucia,71850073,,,
Equatorial Guinea,71036560,,,
Eritrea,69666108,,,
Grenada,64390000,,,
Nauru,54767343,,,
Algeria,46347423,DZA,2.6040718750000003,30.442513541666656
Antigua and Barbuda,43466750,ATG,17.087635,-61.772346
"Southern Africa, regional",37280113,,,
Malaysia,26865881,,,
Turkmenistan,24157796,,,
States Ex-Yugoslavia unspecified,18802575,,,
Iran,15120296,,,
Palau,14951350,,,
Syrian Arab Republic,13815761,,,
Libya,11529388,,,
Niue,10008547,,,
Seychelles,9223254,,,
Tokelau,8745996,,,
Cook Islands,7527171,COK,-21.233334,-159.766663
"Melanesia, regional",5043119,,,
North Korea,1891075,PRK,39.019444,"	125.738052"
Saint Helena,1505395,,,
Venezuela,1390253,VEN,-64.332253,9.251650573
Montserrat,607841,,,
Wallis and Futuna,15473,,,